time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.25595,0.64405,0.06405,0.03595
2.0,0.07025,0.6463,0.239,0.04445
3.0,0.01985,0.51435,0.39015,0.07565
4.0,0.0056,0.38185,0.48415,0.1284
5.0,0.00205,0.2793,0.52645,0.1922
6.0,0.0012,0.203,0.5341,0.2617
7.0,0.001,0.14685,0.52235,0.3298
8.0,0.0014,0.1053,0.49835,0.39495
9.0,0.00135,0.0764,0.4638,0.45845
10.0,0.0017,0.0555,0.42485,0.51795
11.0,0.0023,0.04055,0.38345,0.5737
12.0,0.00265,0.0314,0.3442,0.62175
13.0,0.00325,0.02375,0.30665,0.66635
14.0,0.003,0.01935,0.27285,0.7048
15.0,0.0035,0.01535,0.24105,0.7401
16.0,0.0041,0.01235,0.2134,0.77015
17.0,0.00385,0.01065,0.19115,0.79435
18.0,0.0045,0.009,0.1698,0.8167
19.0,0.00435,0.0095,0.14965,0.8365
20.0,0.00405,0.0092,0.1331,0.85365
21.0,0.0046,0.00955,0.11775,0.8681
22.0,0.005,0.00915,0.1037,0.88215
23.0,0.0041,0.0103,0.09195,0.89365
24.0,0.00475,0.01025,0.08125,0.90375
25.0,0.0054,0.0098,0.0739,0.9109
26.0,0.00575,0.0102,0.06725,0.9168
27.0,0.0052,0.01035,0.0607,0.92375
28.0,0.00585,0.0107,0.05455,0.9289
29.0,0.00515,0.01105,0.0506,0.9332
30.0,0.0065,0.01075,0.04685,0.9359
31.0,0.0056,0.01195,0.0435,0.93895
32.0,0.00605,0.01225,0.0399,0.9418
33.0,0.00625,0.01275,0.03715,0.94385
34.0,0.00655,0.0134,0.0349,0.94515
35.0,0.0057,0.0134,0.03405,0.94685
36.0,0.00615,0.0134,0.0329,0.94755
37.0,0.00655,0.01345,0.0313,0.9487
38.0,0.00705,0.01345,0.0297,0.9498
39.0,0.00635,0.01465,0.0286,0.9504
40.0,0.0079,0.01405,0.02845,0.9496
41.0,0.00665,0.01565,0.0274,0.9503
42.0,0.0084,0.0149,0.0284,0.9483
43.0,0.00635,0.0159,0.02875,0.949
44.0,0.00705,0.01455,0.02995,0.94845
45.0,0.0078,0.0152,0.0293,0.9477
46.0,0.00845,0.016,0.0298,0.94575
