time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.2427,0.6573,0.0662,0.0338
2.0,0.0656,0.65155,0.2406,0.04225
3.0,0.01785,0.5153,0.3938,0.07305
4.0,0.00495,0.3866,0.4824,0.12605
5.0,0.0021,0.2802,0.52585,0.19185
6.0,0.0012,0.2018,0.53515,0.26185
7.0,0.00125,0.14565,0.521,0.3321
8.0,0.00135,0.1054,0.4898,0.40345
9.0,0.0013,0.07645,0.4521,0.47015
10.0,0.00165,0.05505,0.4126,0.5307
11.0,0.00195,0.04145,0.3722,0.5844
12.0,0.0022,0.03,0.33635,0.63145
13.0,0.003,0.0221,0.30215,0.67275
14.0,0.00295,0.01785,0.2644,0.7148
15.0,0.0031,0.0148,0.2339,0.7482
16.0,0.00455,0.0125,0.20665,0.7763
17.0,0.00405,0.01135,0.18405,0.80055
18.0,0.00405,0.0103,0.16075,0.8249
19.0,0.0032,0.00975,0.14195,0.8451
20.0,0.0044,0.0086,0.1245,0.8625
21.0,0.0042,0.00895,0.10995,0.8769
22.0,0.0044,0.0094,0.09705,0.88915
23.0,0.00415,0.0093,0.0867,0.89985
24.0,0.0057,0.00945,0.07715,0.9077
25.0,0.0047,0.0108,0.0696,0.9149
26.0,0.00555,0.01115,0.062,0.9213
27.0,0.0044,0.0115,0.05755,0.92655
28.0,0.0053,0.0112,0.0532,0.9303
29.0,0.0049,0.0114,0.0485,0.9352
30.0,0.0062,0.01035,0.0463,0.93715
31.0,0.00555,0.01175,0.0416,0.9411
32.0,0.0072,0.01185,0.0393,0.94165
33.0,0.00515,0.014,0.0362,0.94465
34.0,0.0069,0.01315,0.0352,0.94475
35.0,0.00545,0.0141,0.0334,0.94705
36.0,0.00705,0.01355,0.032,0.9474
37.0,0.0055,0.015,0.0303,0.9492
38.0,0.00645,0.01445,0.03015,0.94895
39.0,0.0068,0.01345,0.0308,0.94895
40.0,0.00725,0.01445,0.02855,0.94975
41.0,0.00705,0.0149,0.0283,0.94975
42.0,0.00695,0.0146,0.0286,0.94985
43.0,0.007,0.01475,0.02745,0.9508
44.0,0.0076,0.01475,0.02775,0.9499
45.0,0.0059,0.0154,0.02855,0.95015
46.0,0.00695,0.0151,0.0281,0.94985
47.0,0.0066,0.01595,0.0275,0.94995
48.0,0.009,0.01565,0.02735,0.948
49.0,0.0082,0.0166,0.02805,0.94715
50.0,0.0076,0.01705,0.0286,0.94675
51.0,0.0069,0.01735,0.02905,0.9467
52.0,0.0093,0.0163,0.0304,0.944
53.0,0.0071,0.01835,0.03015,0.9444
54.0,0.00755,0.01715,0.0313,0.944
55.0,0.00685,0.01755,0.0319,0.9437
56.0,0.00725,0.0173,0.03205,0.9434
57.0,0.0072,0.0178,0.03215,0.94285
58.0,0.0091,0.01755,0.03175,0.9416
59.0,0.00685,0.01885,0.03175,0.94255
60.0,0.00825,0.01775,0.03195,0.94205
61.0,0.0071,0.0187,0.0321,0.9421
62.0,0.00755,0.01895,0.0326,0.9409
63.0,0.0072,0.0191,0.03265,0.94105
64.0,0.0085,0.0181,0.03365,0.93975
65.0,0.00925,0.0191,0.03235,0.9393
66.0,0.00865,0.0206,0.0323,0.93845
67.0,0.0078,0.0202,0.0347,0.9373
68.0,0.00835,0.0201,0.03455,0.937
69.0,0.00805,0.02075,0.0354,0.9358
70.0,0.00865,0.01945,0.036,0.9359
71.0,0.0086,0.0198,0.036,0.9356
72.0,0.01035,0.0193,0.037,0.93335
73.0,0.0097,0.02025,0.0367,0.93335
74.0,0.00845,0.0213,0.03715,0.9331
75.0,0.0075,0.02135,0.03625,0.9349
76.0,0.00835,0.0203,0.0363,0.93505
77.0,0.00715,0.02005,0.0362,0.9366
78.0,0.00875,0.0192,0.03585,0.9362
79.0,0.00835,0.0201,0.0352,0.93635
80.0,0.0092,0.01915,0.03555,0.9361
81.0,0.00915,0.0208,0.0359,0.93415
82.0,0.0099,0.02135,0.03675,0.932
83.0,0.0079,0.02175,0.0378,0.93255
84.0,0.0084,0.021,0.0381,0.9325
85.0,0.00945,0.02025,0.0387,0.9316
86.0,0.0102,0.0208,0.03875,0.93025
87.0,0.0082,0.0214,0.0394,0.931
88.0,0.00955,0.02075,0.03945,0.93025
89.0,0.0088,0.01995,0.0417,0.92955
90.0,0.0091,0.02105,0.04115,0.9287
91.0,0.00795,0.022,0.0407,0.92935
92.0,0.00875,0.02235,0.0399,0.929
93.0,0.0099,0.02235,0.03985,0.9279
94.0,0.0112,0.02175,0.04005,0.927
95.0,0.00725,0.02255,0.0398,0.9304
96.0,0.00885,0.022,0.0411,0.92805
97.0,0.00955,0.02155,0.0409,0.928
98.0,0.01055,0.02155,0.0403,0.9276
99.0,0.00935,0.023,0.04015,0.9275
100.0,0.0096,0.02255,0.04115,0.9267
101.0,0.0078,0.02305,0.0415,0.92765
