time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.2438,0.6562,0.0644,0.0356
2.0,0.06495,0.6446,0.2451,0.04535
3.0,0.01765,0.50385,0.4005,0.078
4.0,0.00505,0.3788,0.48625,0.1299
5.0,0.00185,0.27775,0.5269,0.1935
6.0,0.00125,0.1993,0.53635,0.2631
7.0,0.00145,0.1431,0.51945,0.336
8.0,0.00145,0.1041,0.4898,0.40465
9.0,0.00125,0.07525,0.45745,0.46605
10.0,0.00165,0.0545,0.4155,0.52835
11.0,0.0014,0.04035,0.3754,0.58285
12.0,0.00235,0.0299,0.33555,0.6322
13.0,0.00305,0.02215,0.30295,0.67185
14.0,0.00345,0.01745,0.27105,0.70805
15.0,0.00275,0.01485,0.24015,0.74225
16.0,0.00385,0.01185,0.21305,0.77125
17.0,0.0033,0.01225,0.18925,0.7952
18.0,0.00425,0.0101,0.1672,0.81845
19.0,0.0038,0.00955,0.14705,0.8396
20.0,0.00425,0.0091,0.1289,0.85775
21.0,0.00445,0.00925,0.113,0.8733
22.0,0.0048,0.0092,0.0995,0.8865
23.0,0.0047,0.0092,0.088,0.8981
24.0,0.00565,0.0091,0.07965,0.9056
25.0,0.00475,0.01025,0.07165,0.91335
26.0,0.00605,0.0097,0.0648,0.91945
27.0,0.00565,0.0112,0.0578,0.92535
28.0,0.00555,0.01155,0.05395,0.92895
29.0,0.00535,0.0118,0.04965,0.9332
30.0,0.0062,0.0122,0.04575,0.93585
31.0,0.0046,0.01275,0.0417,0.94095
32.0,0.0059,0.0125,0.03905,0.94255
33.0,0.0059,0.0132,0.037,0.9439
34.0,0.00635,0.01295,0.03605,0.94465
35.0,0.00585,0.0134,0.0338,0.94695
36.0,0.00695,0.01315,0.03295,0.94695
37.0,0.0065,0.01415,0.03175,0.9476
38.0,0.0063,0.0143,0.03135,0.94805
39.0,0.00585,0.0144,0.0307,0.94905
40.0,0.00745,0.01295,0.03095,0.94865
41.0,0.00545,0.0147,0.02875,0.9511
42.0,0.0067,0.01465,0.02735,0.9513
43.0,0.0072,0.01485,0.0276,0.95035
44.0,0.00725,0.01565,0.0278,0.9493
45.0,0.0072,0.01515,0.0288,0.94885
46.0,0.0068,0.0154,0.0289,0.9489
47.0,0.0071,0.0156,0.02835,0.94895
48.0,0.00855,0.016,0.028,0.94745
49.0,0.0078,0.01795,0.02735,0.9469
50.0,0.0078,0.01745,0.0288,0.94595
51.0,0.00765,0.0179,0.029,0.94545
52.0,0.0076,0.0183,0.0297,0.9444
53.0,0.0073,0.017,0.031,0.9447
54.0,0.0082,0.01605,0.03165,0.9441
55.0,0.00755,0.01745,0.03075,0.94425
56.0,0.0079,0.0169,0.03145,0.94375
57.0,0.008,0.0177,0.0313,0.943
58.0,0.00875,0.01725,0.03195,0.94205
59.0,0.007,0.0187,0.0313,0.943
60.0,0.00885,0.0175,0.03275,0.9409
61.0,0.00705,0.01895,0.0333,0.9407
62.0,0.0077,0.0186,0.0332,0.9405
63.0,0.0081,0.0177,0.03305,0.94115
64.0,0.00895,0.01725,0.0342,0.9396
65.0,0.008,0.01815,0.03355,0.9403
66.0,0.0092,0.018,0.03385,0.93895
