time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.24365,0.65635,0.0644,0.0356
2.0,0.0657,0.6464,0.2435,0.0444
3.0,0.01745,0.51015,0.39445,0.07795
4.0,0.00565,0.37315,0.4909,0.1303
5.0,0.0017,0.27325,0.5317,0.19335
6.0,0.0009,0.1979,0.5351,0.2661
7.0,0.00105,0.1431,0.51995,0.3359
8.0,0.0009,0.10255,0.4947,0.40185
9.0,0.00135,0.0738,0.457,0.46785
10.0,0.00175,0.053,0.4158,0.52945
11.0,0.0022,0.03815,0.37425,0.5854
12.0,0.003,0.02785,0.3361,0.63305
13.0,0.0031,0.0216,0.2984,0.6769
14.0,0.00395,0.0171,0.26385,0.7151
15.0,0.0038,0.0148,0.23355,0.74785
16.0,0.00405,0.0125,0.2088,0.77465
17.0,0.0037,0.01145,0.1825,0.80235
18.0,0.00415,0.00935,0.16215,0.82435
19.0,0.0031,0.00955,0.14265,0.8447
20.0,0.0044,0.0085,0.12445,0.86265
21.0,0.0046,0.0093,0.10835,0.87775
22.0,0.00515,0.0098,0.09525,0.8898
23.0,0.00475,0.00985,0.08605,0.89935
24.0,0.0056,0.01005,0.07705,0.9073
25.0,0.0059,0.0116,0.0678,0.9147
26.0,0.00505,0.01285,0.06035,0.92175
27.0,0.00545,0.0121,0.05655,0.9259
28.0,0.00725,0.0118,0.0518,0.92915
29.0,0.0055,0.01285,0.04725,0.9344
30.0,0.00565,0.01235,0.0445,0.9375
31.0,0.0055,0.01295,0.0403,0.94125
32.0,0.0065,0.01275,0.0384,0.94235
33.0,0.00665,0.01275,0.03635,0.94425
34.0,0.00635,0.01395,0.03415,0.94555
35.0,0.00565,0.01465,0.03275,0.94695
36.0,0.00775,0.01415,0.0319,0.9462
37.0,0.0066,0.01525,0.0309,0.94725
38.0,0.0071,0.01525,0.0311,0.94655
39.0,0.00575,0.0159,0.03025,0.9481
40.0,0.0067,0.0154,0.02915,0.94875
41.0,0.0062,0.01555,0.02875,0.9495
42.0,0.0075,0.0153,0.02835,0.94885
