time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.2528,0.6472,0.0667,0.0333
2.0,0.06905,0.65,0.2381,0.04285
3.0,0.01835,0.5167,0.39015,0.0748
4.0,0.0055,0.38155,0.48855,0.1244
5.0,0.00185,0.27765,0.53125,0.18925
6.0,0.0008,0.1997,0.5443,0.2552
7.0,0.0009,0.1438,0.52745,0.32785
8.0,0.0013,0.10285,0.5019,0.39395
9.0,0.0012,0.0742,0.46765,0.45695
10.0,0.0015,0.0541,0.42595,0.51845
11.0,0.0026,0.03895,0.38305,0.5754
12.0,0.00315,0.02895,0.3441,0.6238
13.0,0.003,0.0229,0.30545,0.66865
14.0,0.0024,0.01825,0.2738,0.70555
15.0,0.00355,0.01435,0.2427,0.7394
16.0,0.0034,0.0132,0.21275,0.77065
17.0,0.0036,0.0117,0.18755,0.79715
18.0,0.0039,0.0107,0.16415,0.82125
19.0,0.00355,0.00955,0.1445,0.8424
20.0,0.0036,0.00955,0.12705,0.8598
21.0,0.00425,0.0089,0.11325,0.8736
22.0,0.0049,0.00925,0.09885,0.887
23.0,0.0045,0.0102,0.0875,0.8978
24.0,0.0056,0.0101,0.0789,0.9054
25.0,0.0042,0.0111,0.0716,0.9131
26.0,0.0058,0.0099,0.0644,0.9199
27.0,0.00555,0.0109,0.0578,0.92575
28.0,0.00565,0.01165,0.05295,0.92975
29.0,0.00535,0.01145,0.0488,0.9344
30.0,0.0057,0.0116,0.0453,0.9374
31.0,0.00505,0.01215,0.04295,0.93985
32.0,0.0062,0.0112,0.04035,0.94225
33.0,0.00595,0.0121,0.03825,0.9437
34.0,0.0064,0.0127,0.0362,0.9447
35.0,0.00665,0.01335,0.0341,0.9459
36.0,0.00805,0.0138,0.03275,0.9454
37.0,0.00685,0.01525,0.0313,0.9466
38.0,0.0059,0.01535,0.03105,0.9477
39.0,0.0056,0.01505,0.0299,0.94945
40.0,0.007,0.0142,0.029,0.9498
41.0,0.00635,0.015,0.0279,0.95075
42.0,0.0076,0.01465,0.0282,0.94955
43.0,0.00675,0.0156,0.0278,0.94985
44.0,0.0073,0.01555,0.0278,0.94935
