time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.2514,0.6486,0.06425,0.03575
2.0,0.0701,0.6398,0.24595,0.04415
3.0,0.01905,0.50695,0.3962,0.0778
4.0,0.00475,0.3787,0.4872,0.12935
5.0,0.00165,0.277,0.52665,0.1947
6.0,0.0011,0.2003,0.53315,0.26545
7.0,0.0012,0.14515,0.5195,0.33415
8.0,0.0009,0.1048,0.4922,0.4021
9.0,0.00175,0.07565,0.45565,0.46695
10.0,0.0021,0.057,0.41635,0.52455
11.0,0.002,0.0425,0.37605,0.57945
12.0,0.0026,0.03105,0.3388,0.62755
13.0,0.0027,0.0244,0.29935,0.67355
14.0,0.0039,0.01835,0.26975,0.708
15.0,0.0037,0.0157,0.23925,0.74135
16.0,0.0036,0.01385,0.21365,0.7689
17.0,0.00335,0.0121,0.18885,0.7957
18.0,0.00395,0.0109,0.1658,0.81935
19.0,0.0042,0.00975,0.14685,0.8392
20.0,0.0049,0.0102,0.13035,0.85455
21.0,0.00515,0.0099,0.1146,0.87035
22.0,0.0049,0.0103,0.10105,0.88375
23.0,0.0045,0.01105,0.09095,0.8935
24.0,0.00545,0.0094,0.0812,0.90395
25.0,0.0052,0.0098,0.07295,0.91205
26.0,0.00535,0.01045,0.0656,0.9186
27.0,0.0043,0.01105,0.0594,0.92525
28.0,0.00595,0.01055,0.05445,0.92905
29.0,0.0062,0.01115,0.049,0.93365
30.0,0.00705,0.0119,0.0451,0.93595
31.0,0.0056,0.0128,0.04175,0.93985
32.0,0.00695,0.013,0.03925,0.9408
33.0,0.0054,0.0135,0.03745,0.94365
34.0,0.0059,0.01225,0.037,0.94485
35.0,0.0053,0.0124,0.03435,0.94795
36.0,0.00705,0.01265,0.0328,0.9475
37.0,0.00675,0.01415,0.03105,0.94805
38.0,0.00735,0.0151,0.0301,0.94745
39.0,0.00705,0.01585,0.0295,0.9476
40.0,0.0067,0.01635,0.02865,0.9483
41.0,0.00555,0.0172,0.02855,0.9487
42.0,0.0072,0.01615,0.0291,0.94755
43.0,0.0064,0.01655,0.0289,0.94815
44.0,0.0072,0.016,0.02995,0.94685
45.0,0.00655,0.01685,0.03005,0.94655
46.0,0.0075,0.01595,0.0301,0.94645
47.0,0.0062,0.01605,0.0303,0.94745
48.0,0.0076,0.0151,0.031,0.9463
49.0,0.00685,0.01625,0.0297,0.9472
50.0,0.0085,0.01635,0.02915,0.946
51.0,0.0071,0.0179,0.02845,0.94655
52.0,0.0085,0.0179,0.02865,0.94495
53.0,0.00675,0.0179,0.02965,0.9457
54.0,0.0094,0.01715,0.0301,0.94335
55.0,0.007,0.0182,0.031,0.9438
56.0,0.0078,0.0178,0.03115,0.94325
57.0,0.0084,0.0183,0.03005,0.94325
58.0,0.0092,0.01905,0.0309,0.94085
59.0,0.00655,0.0195,0.0313,0.94265
60.0,0.0095,0.0173,0.03205,0.94115
61.0,0.0083,0.01815,0.0322,0.94135
62.0,0.00865,0.0187,0.03165,0.941
63.0,0.00735,0.01885,0.03305,0.94075
64.0,0.0085,0.0177,0.0342,0.9396
65.0,0.0087,0.0183,0.0336,0.9394
66.0,0.00935,0.0192,0.03395,0.9375
67.0,0.00885,0.02,0.0352,0.93595
68.0,0.00855,0.0207,0.03565,0.9351
69.0,0.00745,0.02,0.037,0.93555
70.0,0.0084,0.01865,0.0372,0.93575
71.0,0.00735,0.01935,0.0365,0.9368
72.0,0.00935,0.0184,0.0372,0.93505
73.0,0.009,0.01995,0.03635,0.9347
74.0,0.0082,0.01955,0.0374,0.93485
75.0,0.0083,0.01995,0.0374,0.93435
76.0,0.0098,0.019,0.03785,0.93335
77.0,0.00845,0.0205,0.0374,0.93365
78.0,0.0097,0.0201,0.03835,0.93185
79.0,0.00765,0.021,0.03855,0.9328
80.0,0.0088,0.02105,0.0386,0.93155
81.0,0.00935,0.01985,0.03995,0.93085
82.0,0.00915,0.0204,0.0403,0.93015
83.0,0.0078,0.0212,0.03885,0.93215
84.0,0.00935,0.0201,0.0391,0.93145
85.0,0.0087,0.02225,0.038,0.93105
86.0,0.00935,0.02295,0.03695,0.93075
87.0,0.0088,0.02325,0.03795,0.93
88.0,0.00895,0.0231,0.03925,0.9287
89.0,0.0082,0.02175,0.04025,0.9298
90.0,0.00985,0.02115,0.0399,0.9291
91.0,0.0101,0.02185,0.03955,0.9285
92.0,0.01045,0.0225,0.04065,0.9264
93.0,0.01045,0.024,0.04055,0.925
94.0,0.0096,0.0224,0.0425,0.9255
95.0,0.0079,0.0218,0.0436,0.9267
96.0,0.00935,0.021,0.04365,0.926
97.0,0.0079,0.02125,0.0428,0.92805
98.0,0.00905,0.0205,0.04195,0.9285
99.0,0.0086,0.02095,0.041,0.92945
100.0,0.00985,0.02085,0.0411,0.9282
101.0,0.0096,0.02085,0.0411,0.92845
102.0,0.0117,0.02045,0.0412,0.92665
103.0,0.0095,0.0218,0.0423,0.9264
104.0,0.01025,0.0226,0.0418,0.92535
105.0,0.00965,0.02235,0.04205,0.92595
106.0,0.0111,0.0228,0.04185,0.92425
107.0,0.00795,0.02435,0.0422,0.9255
108.0,0.01025,0.02275,0.04195,0.92505
109.0,0.0083,0.0232,0.0424,0.9261
110.0,0.0083,0.02265,0.0429,0.92615
111.0,0.00995,0.0216,0.0433,0.92515
112.0,0.00955,0.0217,0.04325,0.9255
113.0,0.0099,0.021,0.04385,0.92525
114.0,0.01215,0.02145,0.04305,0.92335
115.0,0.0116,0.02345,0.04325,0.9217
116.0,0.0118,0.0237,0.04425,0.92025
117.0,0.01115,0.0251,0.0445,0.91925
118.0,0.009,0.0246,0.0459,0.9205
119.0,0.0079,0.0233,0.04565,0.92315
120.0,0.01065,0.02155,0.04565,0.92215
121.0,0.0116,0.02215,0.04575,0.9205
122.0,0.0112,0.0234,0.046,0.9194
123.0,0.00925,0.02505,0.04515,0.92055
124.0,0.00945,0.02475,0.04605,0.91975
125.0,0.0088,0.02345,0.04685,0.9209
126.0,0.01095,0.0228,0.046,0.92025
127.0,0.0106,0.0233,0.04605,0.92005
128.0,0.0098,0.0233,0.0474,0.9195
129.0,0.0103,0.02305,0.04685,0.9198
130.0,0.0113,0.0241,0.0453,0.9193
131.0,0.0098,0.0248,0.04485,0.92055
132.0,0.0109,0.0251,0.0441,0.9199
133.0,0.0093,0.02575,0.04515,0.9198
134.0,0.01045,0.0243,0.0466,0.91865
135.0,0.01115,0.0249,0.0472,0.91675
136.0,0.0118,0.0242,0.04855,0.91545
137.0,0.0089,0.02515,0.04865,0.9173
138.0,0.00905,0.0239,0.0485,0.91855
139.0,0.0089,0.02225,0.04915,0.9197
140.0,0.01065,0.0223,0.0479,0.91915
141.0,0.00965,0.02385,0.04745,0.91905
142.0,0.01015,0.02375,0.04765,0.91845
143.0,0.00825,0.02415,0.0475,0.9201
144.0,0.0094,0.0233,0.0475,0.9198
145.0,0.01095,0.02235,0.0468,0.9199
146.0,0.0105,0.0245,0.04505,0.91995
147.0,0.0105,0.02495,0.0451,0.91945
148.0,0.011,0.02455,0.04505,0.9194
149.0,0.0095,0.02415,0.04655,0.9198
150.0,0.0106,0.0237,0.0465,0.9192
151.0,0.01045,0.02395,0.04695,0.91865
152.0,0.0115,0.02325,0.0479,0.91735
153.0,0.0112,0.02525,0.04755,0.916
154.0,0.01055,0.025,0.0479,0.91655
155.0,0.00945,0.02425,0.04875,0.91755
156.0,0.01185,0.0239,0.04715,0.9171
157.0,0.01095,0.02605,0.0468,0.9162
158.0,0.0114,0.0264,0.0465,0.9157
159.0,0.009,0.0266,0.04695,0.91745
160.0,0.01025,0.0253,0.0477,0.91675
161.0,0.01045,0.02615,0.0467,0.9167
162.0,0.0129,0.02645,0.04585,0.9148
163.0,0.0109,0.0288,0.04635,0.91395
164.0,0.01085,0.0279,0.04835,0.9129
165.0,0.0112,0.0271,0.04835,0.91335
166.0,0.01025,0.02705,0.0489,0.9138
167.0,0.0085,0.0266,0.04885,0.91605
