time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.84195,0.05805,0.066,0.034
2.0,0.7988,0.0849,0.07425,0.04205
3.0,0.74765,0.1116,0.0887,0.05205
4.0,0.6958,0.13165,0.1079,0.06465
5.0,0.6304,0.15835,0.1326,0.07865
6.0,0.5601,0.18595,0.15815,0.0958
7.0,0.49015,0.2045,0.1898,0.11555
8.0,0.4206,0.2199,0.2183,0.1412
9.0,0.34935,0.23055,0.25085,0.16925
10.0,0.2846,0.23255,0.28,0.20285
11.0,0.2261,0.22705,0.30685,0.24
12.0,0.17475,0.21525,0.3312,0.2788
13.0,0.1331,0.1975,0.3482,0.3212
14.0,0.1025,0.1729,0.35855,0.36605
15.0,0.0791,0.14975,0.35925,0.4119
16.0,0.05885,0.1285,0.3547,0.45795
17.0,0.0473,0.10325,0.3449,0.50455
18.0,0.04,0.0814,0.32905,0.54955
19.0,0.03365,0.0645,0.3061,0.59575
20.0,0.0291,0.05315,0.2821,0.63565
21.0,0.02545,0.0431,0.2605,0.67095
22.0,0.0232,0.0351,0.23775,0.70395
23.0,0.02245,0.0285,0.21405,0.735
24.0,0.0224,0.0226,0.1922,0.7628
25.0,0.02295,0.01895,0.1726,0.7855
26.0,0.02255,0.0156,0.1562,0.80565
27.0,0.02245,0.0141,0.14,0.82345
28.0,0.0236,0.01205,0.12595,0.8384
29.0,0.0243,0.0112,0.11145,0.85305
30.0,0.0257,0.00965,0.09925,0.8654
31.0,0.0275,0.008,0.08915,0.87535
32.0,0.02835,0.00715,0.0795,0.885
33.0,0.02985,0.00725,0.0697,0.8932
34.0,0.0315,0.00605,0.0633,0.89915
35.0,0.03325,0.00615,0.05575,0.90485
36.0,0.0363,0.00545,0.05015,0.9081
37.0,0.03895,0.0051,0.04305,0.9129
38.0,0.04085,0.00485,0.03715,0.91715
39.0,0.04385,0.0039,0.034,0.91825
40.0,0.04595,0.004,0.0299,0.92015
41.0,0.04815,0.00425,0.02725,0.92035
42.0,0.05035,0.0034,0.02455,0.9217
43.0,0.0539,0.00305,0.0212,0.92185
44.0,0.0563,0.00285,0.019,0.92185
45.0,0.05865,0.0024,0.01765,0.9213
46.0,0.0619,0.00205,0.01575,0.9203
47.0,0.0655,0.00185,0.01385,0.9188
48.0,0.0686,0.00195,0.0127,0.91675
49.0,0.0715,0.00205,0.011,0.91545
50.0,0.07415,0.0024,0.00975,0.9137
51.0,0.0773,0.002,0.0089,0.9118
52.0,0.07965,0.0018,0.00795,0.9106
53.0,0.08315,0.00145,0.0075,0.9079
54.0,0.0857,0.0013,0.0069,0.9061
55.0,0.0894,0.00125,0.00615,0.9032
56.0,0.0922,0.00115,0.0057,0.90095
57.0,0.0949,0.0013,0.00505,0.89875
58.0,0.097,0.00135,0.00455,0.8971
59.0,0.1,0.0013,0.0039,0.8948
60.0,0.1033,0.00105,0.0039,0.89175
61.0,0.1062,0.0009,0.00355,0.88935
62.0,0.10895,0.00105,0.0029,0.8871
63.0,0.11185,0.001,0.00285,0.8843
64.0,0.11535,0.0011,0.0025,0.88105
65.0,0.11805,0.00105,0.0023,0.8786
66.0,0.1208,0.001,0.0022,0.876
67.0,0.12345,0.001,0.00215,0.8734
68.0,0.1266,0.0007,0.00215,0.87055
69.0,0.12895,0.0008,0.00205,0.8682
70.0,0.1316,0.0007,0.002,0.8657
71.0,0.13455,0.001,0.0019,0.86255
72.0,0.1371,0.0012,0.00185,0.85985
73.0,0.13915,0.00115,0.00205,0.85765
74.0,0.1415,0.00115,0.00195,0.8554
75.0,0.14345,0.00115,0.00205,0.85335
76.0,0.14605,0.0012,0.0021,0.85065
77.0,0.14885,0.0011,0.002,0.84805
78.0,0.1508,0.00125,0.0018,0.84615
79.0,0.153,0.00105,0.0019,0.84405
80.0,0.15515,0.00115,0.0019,0.8418
81.0,0.15755,0.0011,0.00205,0.8393
82.0,0.15935,0.00115,0.0022,0.8373
83.0,0.1617,0.001,0.0023,0.835
84.0,0.1634,0.001,0.0021,0.8335
85.0,0.1656,0.0013,0.0021,0.831
86.0,0.16805,0.0011,0.00225,0.8286
87.0,0.1706,0.00115,0.0023,0.82595
88.0,0.173,0.00095,0.00225,0.8238
89.0,0.1751,0.0011,0.00215,0.82165
90.0,0.17755,0.00095,0.00215,0.81935
91.0,0.17975,0.00105,0.00195,0.81725
