time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.84635,0.05365,0.0642,0.0358
2.0,0.8014,0.0834,0.0722,0.043
3.0,0.7545,0.1069,0.08575,0.05285
4.0,0.6995,0.1317,0.1042,0.0646
5.0,0.63695,0.1575,0.12725,0.0783
6.0,0.5694,0.1801,0.15545,0.09505
7.0,0.49785,0.19935,0.18785,0.11495
8.0,0.4244,0.21325,0.22135,0.141
9.0,0.3546,0.22625,0.24865,0.1705
10.0,0.28555,0.2317,0.2799,0.20285
11.0,0.22935,0.2245,0.3063,0.23985
12.0,0.17845,0.212,0.33245,0.2771
13.0,0.13595,0.19475,0.35065,0.31865
14.0,0.10585,0.1701,0.3573,0.36675
15.0,0.0815,0.1475,0.3566,0.4144
16.0,0.0627,0.1246,0.35375,0.45895
17.0,0.0487,0.1062,0.3411,0.504
18.0,0.0385,0.08785,0.3249,0.54875
19.0,0.03095,0.0719,0.30815,0.589
20.0,0.02645,0.05715,0.28655,0.62985
21.0,0.0239,0.0465,0.26355,0.66605
22.0,0.0208,0.03805,0.24075,0.7004
23.0,0.01935,0.03,0.2192,0.73145
24.0,0.0192,0.0237,0.19965,0.75745
25.0,0.0188,0.0197,0.1805,0.781
26.0,0.01845,0.01705,0.16025,0.80425
27.0,0.01945,0.0135,0.14385,0.8232
28.0,0.02055,0.0107,0.1303,0.83845
29.0,0.0212,0.0094,0.11485,0.85455
30.0,0.022,0.00815,0.1017,0.86815
31.0,0.0236,0.0074,0.0896,0.8794
32.0,0.0248,0.00635,0.08,0.88885
33.0,0.027,0.0052,0.07105,0.89675
34.0,0.02845,0.0051,0.06395,0.9025
35.0,0.03045,0.0042,0.0568,0.90855
36.0,0.03325,0.00435,0.0499,0.9125
37.0,0.03615,0.00435,0.0443,0.9152
38.0,0.0385,0.00435,0.03915,0.918
39.0,0.0409,0.00385,0.03515,0.9201
40.0,0.0426,0.00395,0.03185,0.9216
41.0,0.0449,0.0035,0.02885,0.92275
42.0,0.0467,0.0035,0.0257,0.9241
43.0,0.0495,0.0034,0.0233,0.9238
44.0,0.05265,0.00325,0.021,0.9231
45.0,0.0557,0.0027,0.01915,0.92245
46.0,0.0579,0.0025,0.0169,0.9227
47.0,0.06025,0.0026,0.0152,0.92195
48.0,0.0623,0.00265,0.0133,0.92175
49.0,0.0646,0.00245,0.0118,0.92115
50.0,0.06725,0.0016,0.01115,0.92
51.0,0.0696,0.00195,0.0101,0.91835
52.0,0.07405,0.0016,0.0095,0.91485
53.0,0.07755,0.00145,0.00855,0.91245
54.0,0.08,0.0017,0.00755,0.91075
55.0,0.08355,0.0014,0.0069,0.90815
56.0,0.0861,0.0015,0.0061,0.9063
57.0,0.089,0.00145,0.0057,0.90385
58.0,0.09145,0.0013,0.0053,0.90195
59.0,0.09455,0.0011,0.00465,0.8997
60.0,0.0975,0.001,0.00405,0.89745
61.0,0.10085,0.00075,0.0039,0.8945
62.0,0.10375,0.0009,0.0034,0.89195
63.0,0.10565,0.00095,0.0028,0.8906
64.0,0.1081,0.0007,0.00285,0.88835
65.0,0.11065,0.00065,0.0025,0.8862
66.0,0.11335,0.00075,0.0022,0.8837
67.0,0.116,0.0008,0.00225,0.88095
68.0,0.11795,0.00115,0.0018,0.8791
69.0,0.1207,0.00085,0.00185,0.8766
70.0,0.12355,0.0006,0.00175,0.8741
71.0,0.12615,0.00065,0.00145,0.87175
72.0,0.1285,0.00085,0.0014,0.86925
73.0,0.1318,0.0007,0.0015,0.866
74.0,0.1339,0.00065,0.00165,0.8638
75.0,0.13575,0.00065,0.00185,0.86175
76.0,0.13865,0.00055,0.0018,0.859
77.0,0.14105,0.00065,0.0015,0.8568
78.0,0.14445,0.0006,0.0015,0.85345
79.0,0.1467,0.00075,0.00145,0.8511
80.0,0.14875,0.00095,0.0014,0.8489
81.0,0.15115,0.0007,0.00135,0.8468
82.0,0.15295,0.0007,0.0014,0.84495
83.0,0.15575,0.00085,0.00115,0.84225
84.0,0.1583,0.0007,0.0012,0.8398
85.0,0.16075,0.0008,0.0012,0.83725
86.0,0.1628,0.0006,0.00125,0.83535
87.0,0.1651,0.00075,0.0013,0.83285
88.0,0.1674,0.00065,0.0013,0.83065
89.0,0.1702,0.0006,0.00135,0.82785
90.0,0.17185,0.0006,0.0014,0.82615
91.0,0.17455,0.00055,0.0016,0.8233
92.0,0.1765,0.0006,0.00145,0.82145
93.0,0.1789,0.00045,0.0015,0.81915
94.0,0.18045,0.0004,0.0013,0.81785
95.0,0.18305,0.0004,0.0011,0.81545
96.0,0.1853,0.00035,0.00115,0.8132
97.0,0.1881,0.0003,0.00125,0.81035
98.0,0.1907,0.00035,0.00125,0.8077
99.0,0.1928,0.0005,0.00125,0.80545
100.0,0.1949,0.0007,0.0011,0.8033
101.0,0.19665,0.00075,0.0015,0.8011
102.0,0.1983,0.00065,0.00155,0.7995
103.0,0.20035,0.00075,0.0017,0.7972
104.0,0.2027,0.00085,0.00165,0.7948
105.0,0.20475,0.00075,0.00185,0.79265
106.0,0.207,0.00105,0.00185,0.7901
107.0,0.2089,0.001,0.00215,0.78795
108.0,0.21045,0.0012,0.0022,0.78615
109.0,0.212,0.00135,0.0023,0.78435
110.0,0.2144,0.00105,0.00235,0.7822
111.0,0.2165,0.00125,0.00225,0.78
112.0,0.21875,0.00115,0.0025,0.7776
113.0,0.22005,0.0015,0.0023,0.77615
114.0,0.22165,0.0017,0.00215,0.7745
115.0,0.2231,0.00165,0.00235,0.7729
116.0,0.2239,0.0017,0.00285,0.77155
117.0,0.2253,0.00205,0.0027,0.76995
118.0,0.227,0.00165,0.0033,0.76805
119.0,0.2288,0.00155,0.0034,0.76625
120.0,0.2305,0.00175,0.00345,0.7643
121.0,0.23235,0.0017,0.0033,0.76265
122.0,0.2335,0.00195,0.00325,0.7613
123.0,0.23485,0.00205,0.00345,0.75965
124.0,0.2362,0.00235,0.00355,0.7579
125.0,0.23835,0.00225,0.0036,0.7558
126.0,0.23975,0.00255,0.0036,0.7541
127.0,0.2412,0.0025,0.0037,0.7526
128.0,0.24275,0.00275,0.0037,0.7508
129.0,0.24395,0.0027,0.00425,0.7491
130.0,0.24515,0.0027,0.0045,0.74765
131.0,0.2465,0.0025,0.00455,0.74645
132.0,0.2478,0.0025,0.00445,0.74525
133.0,0.2486,0.00285,0.0044,0.74415
134.0,0.2508,0.00295,0.00425,0.742
135.0,0.25215,0.003,0.0044,0.74045
136.0,0.2541,0.00275,0.00465,0.7385
137.0,0.2556,0.00315,0.0044,0.73685
138.0,0.2562,0.00325,0.00545,0.7351
139.0,0.2573,0.0035,0.00555,0.73365
140.0,0.25785,0.00385,0.00555,0.73275
141.0,0.25885,0.0042,0.00585,0.7311
142.0,0.25965,0.00385,0.00645,0.73005
143.0,0.26105,0.0039,0.00645,0.7286
144.0,0.26125,0.0044,0.0064,0.72795
145.0,0.2618,0.00485,0.0069,0.72645
146.0,0.26185,0.00515,0.0076,0.7254
147.0,0.26245,0.0055,0.00825,0.7238
148.0,0.26255,0.0053,0.00915,0.723
149.0,0.2626,0.00565,0.00945,0.7223
150.0,0.263,0.00575,0.0097,0.72155
151.0,0.26235,0.0071,0.0096,0.72095
152.0,0.26205,0.0069,0.0104,0.72065
153.0,0.2617,0.00775,0.0106,0.71995
154.0,0.26165,0.0079,0.0112,0.71925
155.0,0.26165,0.00805,0.01185,0.71845
156.0,0.26045,0.00895,0.0122,0.7184
157.0,0.2604,0.0092,0.01315,0.71725
158.0,0.2597,0.00915,0.01435,0.7168
159.0,0.25955,0.0088,0.0146,0.71705
160.0,0.25865,0.0092,0.01515,0.717
161.0,0.25805,0.00955,0.0155,0.7169
162.0,0.2574,0.00905,0.01665,0.7169
163.0,0.2561,0.00995,0.017,0.71695
164.0,0.2545,0.01005,0.01715,0.7183
165.0,0.25345,0.0108,0.0174,0.71835
166.0,0.25245,0.01105,0.01735,0.71915
167.0,0.2518,0.01185,0.01875,0.7176
168.0,0.25125,0.01195,0.0199,0.7169
169.0,0.2499,0.01175,0.02085,0.7175
170.0,0.248,0.01295,0.02075,0.7183
171.0,0.24625,0.01355,0.02175,0.71845
172.0,0.24485,0.0147,0.023,0.71745
173.0,0.24365,0.0151,0.0237,0.71755
174.0,0.24185,0.01465,0.02505,0.71845
175.0,0.23885,0.01605,0.02525,0.71985
176.0,0.23605,0.0159,0.02675,0.7213
177.0,0.2326,0.01675,0.02815,0.7225
178.0,0.2299,0.0177,0.0282,0.7242
179.0,0.22665,0.01855,0.02935,0.72545
180.0,0.22385,0.01825,0.0304,0.7275
181.0,0.22055,0.01775,0.03265,0.72905
182.0,0.21805,0.01785,0.03325,0.73085
183.0,0.2157,0.0188,0.03355,0.73195
184.0,0.21225,0.0189,0.0345,0.73435
185.0,0.2096,0.019,0.03475,0.73665
186.0,0.2069,0.0187,0.03555,0.73885
187.0,0.2047,0.0186,0.03545,0.74125
188.0,0.2023,0.0197,0.0352,0.7428
189.0,0.2,0.01915,0.0363,0.74455
190.0,0.19785,0.0177,0.0379,0.74655
191.0,0.19475,0.0186,0.0377,0.74895
192.0,0.1922,0.0183,0.03775,0.75175
193.0,0.18985,0.0185,0.0387,0.75295
194.0,0.188,0.01785,0.0397,0.75445
195.0,0.18585,0.0179,0.0399,0.75635
196.0,0.183,0.0192,0.03985,0.75795
197.0,0.1797,0.02,0.04015,0.76015
198.0,0.1776,0.0198,0.04005,0.76255
199.0,0.1744,0.0196,0.04095,0.76505
200.0,0.17155,0.01885,0.0408,0.7688
