time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.8437,0.0563,0.0642,0.0358
2.0,0.7995,0.08525,0.0709,0.04435
3.0,0.75325,0.1065,0.0863,0.05395
4.0,0.7019,0.12815,0.10565,0.0643
5.0,0.63795,0.154,0.12975,0.0783
6.0,0.56965,0.1772,0.15705,0.0961
7.0,0.499,0.19875,0.1857,0.11655
8.0,0.4266,0.21265,0.21865,0.1421
9.0,0.35675,0.2221,0.2492,0.17195
10.0,0.28955,0.2275,0.278,0.20495
11.0,0.2297,0.22025,0.30945,0.2406
12.0,0.1812,0.20635,0.3309,0.28155
13.0,0.13915,0.19135,0.34275,0.32675
14.0,0.1066,0.17225,0.3509,0.37025
15.0,0.08235,0.15055,0.3521,0.415
16.0,0.0629,0.1295,0.3458,0.4618
17.0,0.0506,0.10575,0.33795,0.5057
18.0,0.04055,0.08735,0.32475,0.54735
19.0,0.03385,0.0684,0.3074,0.59035
20.0,0.0284,0.0563,0.2879,0.6274
21.0,0.02415,0.04475,0.268,0.6631
22.0,0.02215,0.03495,0.2459,0.697
23.0,0.0204,0.029,0.22105,0.72955
24.0,0.01915,0.0242,0.2005,0.75615
25.0,0.0193,0.01935,0.18085,0.7805
26.0,0.01955,0.01665,0.16195,0.80185
27.0,0.02005,0.0147,0.1452,0.82005
28.0,0.02075,0.0119,0.12925,0.8381
29.0,0.02245,0.01035,0.11475,0.85245
30.0,0.02395,0.0088,0.1023,0.86495
31.0,0.02545,0.0079,0.0892,0.87745
32.0,0.02625,0.00765,0.07835,0.88775
33.0,0.02885,0.00665,0.0684,0.8961
34.0,0.03145,0.0057,0.0611,0.90175
35.0,0.0338,0.0054,0.05375,0.90705
36.0,0.03505,0.0055,0.0483,0.91115
37.0,0.0384,0.00465,0.04345,0.9135
38.0,0.0404,0.0045,0.03835,0.91675
39.0,0.0418,0.00445,0.0349,0.91885
40.0,0.04455,0.0042,0.03205,0.9192
41.0,0.04635,0.0044,0.0286,0.92065
42.0,0.0497,0.00355,0.0255,0.92125
43.0,0.05165,0.0032,0.0231,0.92205
44.0,0.05415,0.0033,0.02085,0.9217
45.0,0.0568,0.00325,0.0193,0.92065
46.0,0.0592,0.00315,0.018,0.91965
47.0,0.06135,0.00275,0.017,0.9189
48.0,0.06355,0.00295,0.0155,0.918
49.0,0.0659,0.00265,0.01425,0.9172
50.0,0.0686,0.0024,0.0132,0.9158
51.0,0.0712,0.00265,0.01195,0.9142
52.0,0.0749,0.0022,0.011,0.9119
53.0,0.07685,0.0023,0.00975,0.9111
54.0,0.07935,0.00225,0.00915,0.90925
55.0,0.082,0.00255,0.0082,0.90725
56.0,0.08465,0.002,0.008,0.90535
57.0,0.0875,0.00195,0.00755,0.903
58.0,0.08965,0.0017,0.007,0.90165
59.0,0.092,0.0019,0.00595,0.90015
60.0,0.09495,0.00165,0.00525,0.89815
61.0,0.0979,0.00145,0.005,0.89565
62.0,0.10015,0.0016,0.0046,0.89365
63.0,0.1029,0.00145,0.0043,0.89135
64.0,0.1062,0.0014,0.0038,0.8886
65.0,0.1092,0.00115,0.00375,0.8859
66.0,0.1114,0.00115,0.0034,0.88405
67.0,0.114,0.0012,0.00295,0.88185
68.0,0.1169,0.0013,0.00255,0.87925
69.0,0.11955,0.00125,0.00225,0.87695
70.0,0.12275,0.00125,0.00215,0.87385
71.0,0.12565,0.00095,0.0021,0.8713
72.0,0.1286,0.0011,0.0018,0.8685
73.0,0.13115,0.00085,0.00205,0.86595
74.0,0.13335,0.00105,0.002,0.8636
75.0,0.1359,0.0008,0.0023,0.861
76.0,0.13895,0.0009,0.00225,0.8579
77.0,0.14125,0.00095,0.00225,0.85555
78.0,0.14355,0.00095,0.0023,0.8532
79.0,0.14565,0.001,0.00215,0.8512
80.0,0.14785,0.0011,0.0021,0.84895
81.0,0.15025,0.0008,0.0023,0.84665
82.0,0.15275,0.00075,0.0022,0.8443
83.0,0.15505,0.00085,0.00185,0.84225
84.0,0.158,0.0009,0.00195,0.83915
85.0,0.1605,0.0009,0.00195,0.83665
86.0,0.1627,0.001,0.002,0.8343
87.0,0.16475,0.0011,0.002,0.83215
88.0,0.16725,0.0012,0.0018,0.82975
89.0,0.16985,0.00105,0.002,0.8271
90.0,0.1721,0.00115,0.00195,0.8248
91.0,0.17435,0.001,0.0021,0.82255
92.0,0.17715,0.0009,0.0019,0.82005
93.0,0.17845,0.00095,0.0018,0.8188
94.0,0.18045,0.00095,0.00175,0.81685
95.0,0.18235,0.0011,0.0017,0.81485
96.0,0.185,0.00075,0.0018,0.81245
97.0,0.18755,0.00085,0.00185,0.80975
98.0,0.1901,0.00085,0.00185,0.8072
99.0,0.1921,0.0008,0.00205,0.80505
100.0,0.1942,0.0012,0.00145,0.80315
101.0,0.1961,0.0013,0.00165,0.80095
102.0,0.19785,0.00135,0.0017,0.7991
103.0,0.19945,0.00155,0.0019,0.7971
104.0,0.20195,0.0016,0.0021,0.79435
105.0,0.2037,0.00145,0.00235,0.7925
106.0,0.2057,0.0012,0.00255,0.79055
107.0,0.2075,0.0011,0.00285,0.78855
108.0,0.20945,0.0008,0.0029,0.78685
109.0,0.2118,0.00085,0.0028,0.78455
110.0,0.2138,0.00095,0.00265,0.7826
111.0,0.21555,0.0015,0.00235,0.7806
112.0,0.2172,0.00125,0.0028,0.77875
113.0,0.2194,0.00155,0.00285,0.7762
114.0,0.22145,0.0011,0.00315,0.7743
115.0,0.2236,0.0012,0.00275,0.77245
116.0,0.22595,0.0014,0.0027,0.76995
117.0,0.228,0.00115,0.00285,0.768
118.0,0.23015,0.00125,0.0028,0.7658
119.0,0.23225,0.00115,0.00275,0.76385
120.0,0.2342,0.0012,0.00265,0.76195
121.0,0.2356,0.00145,0.0023,0.76065
122.0,0.2375,0.0016,0.00265,0.75825
123.0,0.2398,0.0014,0.00285,0.75595
124.0,0.2412,0.0017,0.00245,0.75465
125.0,0.2433,0.0016,0.0026,0.7525
126.0,0.24475,0.00145,0.003,0.7508
127.0,0.24595,0.0016,0.00235,0.7501
128.0,0.24695,0.0018,0.0025,0.74875
129.0,0.2489,0.00155,0.00295,0.7466
130.0,0.25035,0.0015,0.00285,0.7453
131.0,0.252,0.00195,0.0026,0.74345
132.0,0.254,0.00185,0.003,0.74115
133.0,0.25535,0.00215,0.0029,0.7396
134.0,0.25635,0.00215,0.00355,0.73795
135.0,0.2581,0.0021,0.0039,0.7359
136.0,0.2593,0.0023,0.0037,0.7347
137.0,0.2605,0.00245,0.00395,0.7331
138.0,0.2623,0.00245,0.0042,0.73105
139.0,0.2639,0.0026,0.00445,0.72905
140.0,0.2648,0.0028,0.00455,0.72785
141.0,0.2664,0.003,0.0052,0.7254
142.0,0.26755,0.00305,0.00565,0.72375
143.0,0.2689,0.00355,0.00565,0.7219
144.0,0.2699,0.00395,0.00565,0.7205
145.0,0.271,0.00345,0.00645,0.7191
146.0,0.2719,0.00405,0.00655,0.7175
147.0,0.27335,0.00405,0.0065,0.7161
148.0,0.2742,0.00395,0.00665,0.7152
149.0,0.27475,0.0041,0.00675,0.7144
150.0,0.2759,0.0043,0.0073,0.7125
151.0,0.27645,0.00475,0.00725,0.71155
152.0,0.2769,0.00525,0.00755,0.7103
153.0,0.27765,0.0055,0.0076,0.70925
154.0,0.27875,0.00515,0.0085,0.7076
155.0,0.27935,0.00485,0.0091,0.7067
156.0,0.2799,0.0054,0.0093,0.7054
157.0,0.28005,0.0062,0.00925,0.7045
158.0,0.2802,0.00595,0.0103,0.70355
159.0,0.28045,0.0056,0.0106,0.70335
160.0,0.2811,0.00545,0.01115,0.7023
161.0,0.2801,0.00655,0.01175,0.7016
162.0,0.2797,0.0072,0.0123,0.7008
163.0,0.2787,0.008,0.0123,0.701
164.0,0.27845,0.00805,0.0131,0.7004
165.0,0.27755,0.00905,0.01375,0.69965
166.0,0.27665,0.00945,0.01495,0.69895
167.0,0.2754,0.0103,0.0153,0.699
168.0,0.27405,0.00975,0.0168,0.6994
169.0,0.27295,0.0107,0.0168,0.69955
170.0,0.2707,0.01155,0.01755,0.7002
171.0,0.27005,0.01155,0.0185,0.6999
172.0,0.26845,0.01285,0.01935,0.69935
173.0,0.2668,0.01265,0.0202,0.70035
174.0,0.2644,0.01405,0.02095,0.7006
175.0,0.2627,0.01385,0.02265,0.7008
176.0,0.26115,0.0138,0.0245,0.70055
177.0,0.25845,0.01505,0.02515,0.70135
178.0,0.25675,0.01535,0.0255,0.7024
179.0,0.254,0.0159,0.02605,0.70405
180.0,0.2515,0.01615,0.0264,0.70595
181.0,0.2491,0.016,0.0284,0.7065
182.0,0.24555,0.01745,0.02855,0.70845
183.0,0.2435,0.01695,0.0306,0.70895
184.0,0.24015,0.01735,0.03215,0.71035
185.0,0.23735,0.01885,0.0319,0.7119
186.0,0.23315,0.0198,0.0329,0.71415
187.0,0.23015,0.0194,0.03375,0.7167
188.0,0.227,0.01925,0.03475,0.719
189.0,0.2227,0.0197,0.03625,0.72135
190.0,0.2191,0.0194,0.03855,0.72295
191.0,0.21445,0.02085,0.0386,0.7261
192.0,0.21135,0.0204,0.0393,0.72895
193.0,0.20895,0.02095,0.03995,0.73015
194.0,0.20555,0.02095,0.04035,0.73315
195.0,0.20125,0.02195,0.0402,0.7366
196.0,0.19685,0.02235,0.04085,0.73995
197.0,0.1945,0.02145,0.0423,0.74175
198.0,0.1907,0.02175,0.043,0.74455
199.0,0.18825,0.0216,0.0422,0.74795
200.0,0.18585,0.0213,0.0423,0.75055
201.0,0.1825,0.02145,0.04145,0.7546
202.0,0.1793,0.0223,0.0414,0.757
203.0,0.17655,0.0221,0.04245,0.7589
204.0,0.17385,0.0205,0.04335,0.7623
205.0,0.17125,0.02065,0.04275,0.76535
206.0,0.16985,0.01965,0.0432,0.7673
207.0,0.16855,0.01785,0.04395,0.76965
208.0,0.1662,0.0187,0.0433,0.7718
209.0,0.16415,0.01905,0.0425,0.7743
210.0,0.16125,0.01985,0.0425,0.7764
211.0,0.15995,0.01845,0.0424,0.7792
212.0,0.1587,0.01905,0.0414,0.78085
213.0,0.15765,0.01875,0.0414,0.7822
214.0,0.1565,0.0181,0.0411,0.7843
215.0,0.1557,0.01745,0.0403,0.78655
216.0,0.1544,0.01795,0.03895,0.7887
217.0,0.1543,0.0168,0.03865,0.79025
218.0,0.1548,0.016,0.03785,0.79135
219.0,0.1551,0.01475,0.03915,0.791
220.0,0.15515,0.0148,0.0379,0.79215
221.0,0.15485,0.0153,0.03685,0.793
222.0,0.15475,0.0139,0.03605,0.7953
223.0,0.1537,0.01435,0.03425,0.7977
224.0,0.1539,0.01395,0.0343,0.79785
225.0,0.15355,0.0152,0.03325,0.798
226.0,0.1538,0.0144,0.03255,0.79925
227.0,0.15465,0.0141,0.0325,0.79875
228.0,0.15375,0.01435,0.0328,0.7991
229.0,0.1543,0.01335,0.0323,0.80005
230.0,0.15445,0.0138,0.03105,0.8007
231.0,0.1548,0.01395,0.0305,0.80075
232.0,0.1546,0.0132,0.03,0.8022
233.0,0.156,0.01215,0.03,0.80185
234.0,0.15695,0.01195,0.0292,0.8019
235.0,0.1578,0.0116,0.0282,0.8024
236.0,0.1593,0.01185,0.0268,0.80205
237.0,0.15995,0.012,0.0261,0.80195
