time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.8425,0.0575,0.06385,0.03615
2.0,0.79565,0.08765,0.0722,0.0445
3.0,0.7474,0.11045,0.0887,0.05345
4.0,0.6961,0.13215,0.1058,0.06595
5.0,0.6342,0.15685,0.1298,0.07915
6.0,0.56925,0.17925,0.1548,0.0967
7.0,0.49745,0.20025,0.1844,0.1179
8.0,0.428,0.21485,0.21565,0.1415
9.0,0.35615,0.226,0.24855,0.1693
10.0,0.28895,0.22855,0.28115,0.20135
11.0,0.2304,0.2243,0.30875,0.23655
12.0,0.1796,0.20905,0.3328,0.27855
13.0,0.13665,0.1952,0.3452,0.32295
14.0,0.103,0.17365,0.35715,0.3662
15.0,0.0789,0.15135,0.35685,0.4129
16.0,0.0616,0.12715,0.35105,0.4602
17.0,0.0493,0.1047,0.3392,0.5068
18.0,0.0397,0.0866,0.32265,0.55105
19.0,0.0332,0.0706,0.3017,0.5945
20.0,0.0276,0.0594,0.2804,0.6326
21.0,0.0246,0.0483,0.2566,0.6705
22.0,0.0222,0.0384,0.23515,0.70425
23.0,0.02145,0.0307,0.21425,0.7336
24.0,0.0208,0.02395,0.19405,0.7612
25.0,0.01995,0.0194,0.1742,0.78645
26.0,0.02,0.0169,0.1574,0.8057
27.0,0.02085,0.0143,0.1419,0.82295
28.0,0.0217,0.012,0.1272,0.8391
29.0,0.0226,0.00945,0.1135,0.85445
30.0,0.0242,0.0077,0.09975,0.86835
31.0,0.0255,0.0074,0.0899,0.8772
32.0,0.02635,0.0069,0.08025,0.8865
33.0,0.02765,0.00605,0.0719,0.8944
34.0,0.0289,0.00545,0.06475,0.9009
35.0,0.03005,0.00525,0.0571,0.9076
36.0,0.0323,0.00415,0.0505,0.91305
37.0,0.03395,0.0042,0.04405,0.9178
38.0,0.03665,0.0034,0.0397,0.92025
39.0,0.0389,0.00345,0.03475,0.9229
40.0,0.04205,0.00335,0.03075,0.92385
41.0,0.04495,0.0029,0.0273,0.92485
42.0,0.04685,0.0028,0.025,0.92535
43.0,0.04955,0.00295,0.02265,0.92485
44.0,0.0521,0.0026,0.02075,0.92455
45.0,0.0546,0.0024,0.01855,0.92445
46.0,0.05785,0.00245,0.01655,0.92315
47.0,0.06055,0.0022,0.01485,0.9224
48.0,0.0637,0.00195,0.01355,0.9208
49.0,0.0656,0.00195,0.01285,0.9196
50.0,0.0691,0.0021,0.01145,0.91735
51.0,0.0714,0.00235,0.0102,0.91605
52.0,0.0732,0.0022,0.00855,0.91605
53.0,0.0759,0.0018,0.0081,0.9142
54.0,0.07815,0.00185,0.00745,0.91255
55.0,0.08125,0.00155,0.0071,0.9101
56.0,0.08415,0.00125,0.0068,0.9078
57.0,0.08685,0.0015,0.0061,0.90555
58.0,0.08935,0.00135,0.0058,0.9035
59.0,0.0917,0.0016,0.0052,0.9015
60.0,0.0952,0.0014,0.0052,0.8982
61.0,0.09705,0.0018,0.00485,0.8963
62.0,0.09975,0.00205,0.0044,0.8938
63.0,0.10245,0.002,0.0042,0.89135
64.0,0.10585,0.00165,0.00425,0.88825
65.0,0.10825,0.00135,0.0045,0.8859
66.0,0.11115,0.00125,0.00435,0.88325
67.0,0.1137,0.0009,0.0041,0.8813
68.0,0.1162,0.0012,0.0035,0.8791
69.0,0.1183,0.0013,0.0033,0.8771
70.0,0.1207,0.001,0.00345,0.87485
71.0,0.12345,0.0007,0.00345,0.8724
72.0,0.12565,0.00065,0.00315,0.87055
73.0,0.1284,0.0006,0.00275,0.86825
74.0,0.131,0.0007,0.0026,0.8657
75.0,0.13395,0.00065,0.0025,0.8629
76.0,0.1362,0.0008,0.0025,0.8605
77.0,0.13865,0.0006,0.00235,0.8584
78.0,0.1409,0.00075,0.002,0.85635
79.0,0.14295,0.00085,0.00185,0.85435
80.0,0.14565,0.0008,0.00195,0.8516
81.0,0.14795,0.00075,0.00165,0.84965
82.0,0.14995,0.00065,0.0016,0.8478
83.0,0.1525,0.0006,0.0015,0.8454
84.0,0.155,0.00085,0.0013,0.84285
85.0,0.15745,0.0007,0.00145,0.8404
86.0,0.15985,0.0006,0.0015,0.83805
87.0,0.1622,0.00055,0.00135,0.8359
88.0,0.1655,0.0005,0.0012,0.8328
89.0,0.1688,0.0005,0.00105,0.82965
90.0,0.171,0.00055,0.001,0.82745
91.0,0.17375,0.0006,0.00105,0.8246
92.0,0.17595,0.0005,0.00095,0.8226
93.0,0.17765,0.0004,0.00095,0.821
94.0,0.18025,0.00045,0.001,0.8183
95.0,0.1826,0.00035,0.001,0.81605
