time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.84405,0.05595,0.0643,0.0357
2.0,0.80195,0.0824,0.07065,0.045
3.0,0.7556,0.10525,0.08545,0.0537
4.0,0.6997,0.1325,0.10265,0.06515
5.0,0.6411,0.156,0.12415,0.07875
6.0,0.5761,0.1775,0.1516,0.0948
7.0,0.50475,0.1996,0.18125,0.1144
8.0,0.4302,0.22005,0.21135,0.1384
9.0,0.3609,0.22725,0.24525,0.1666
10.0,0.29555,0.22945,0.27565,0.19935
11.0,0.23765,0.22235,0.30485,0.23515
12.0,0.18625,0.2096,0.3286,0.27555
13.0,0.14285,0.19555,0.3412,0.3204
14.0,0.11065,0.17295,0.3509,0.3655
15.0,0.08395,0.15335,0.35165,0.41105
16.0,0.064,0.1307,0.3455,0.4598
17.0,0.04965,0.109,0.33575,0.5056
18.0,0.0393,0.09115,0.3187,0.55085
19.0,0.0319,0.0726,0.3052,0.5903
20.0,0.0267,0.0584,0.28525,0.62965
21.0,0.0232,0.0447,0.2671,0.665
22.0,0.01975,0.0368,0.24465,0.6988
23.0,0.0185,0.02815,0.22275,0.7306
24.0,0.01795,0.0232,0.2012,0.75765
25.0,0.01885,0.0184,0.17985,0.7829
26.0,0.0195,0.0154,0.1605,0.8046
27.0,0.01955,0.01335,0.14485,0.82225
28.0,0.02075,0.01185,0.13,0.8374
29.0,0.02175,0.0102,0.1153,0.85275
30.0,0.0227,0.00835,0.10175,0.8672
31.0,0.0234,0.008,0.0901,0.8785
32.0,0.0254,0.00705,0.0808,0.88675
33.0,0.02715,0.00585,0.0718,0.8952
34.0,0.02845,0.0057,0.0634,0.90245
35.0,0.03035,0.0052,0.05655,0.9079
36.0,0.03265,0.00445,0.0498,0.9131
37.0,0.03465,0.00465,0.0446,0.9161
38.0,0.037,0.0046,0.04015,0.91825
39.0,0.0397,0.0042,0.0352,0.9209
40.0,0.04165,0.00415,0.0311,0.9231
41.0,0.0444,0.0038,0.027,0.9248
42.0,0.04755,0.0037,0.02415,0.9246
43.0,0.0503,0.0037,0.0215,0.9245
44.0,0.05335,0.00345,0.0196,0.9236
45.0,0.0561,0.00305,0.0178,0.92305
46.0,0.05835,0.00335,0.0161,0.9222
47.0,0.0613,0.003,0.01525,0.92045
48.0,0.06385,0.00285,0.0149,0.9184
49.0,0.06605,0.0029,0.01335,0.9177
50.0,0.06845,0.00255,0.0125,0.9165
51.0,0.0713,0.0021,0.0119,0.9147
52.0,0.07455,0.00155,0.0102,0.9137
53.0,0.07715,0.00195,0.00885,0.91205
54.0,0.07995,0.00205,0.0082,0.9098
55.0,0.0826,0.00185,0.00775,0.9078
56.0,0.085,0.00185,0.0074,0.90575
57.0,0.08795,0.00185,0.00645,0.90375
58.0,0.09055,0.002,0.0058,0.90165
59.0,0.09325,0.0015,0.00585,0.8994
60.0,0.0956,0.0016,0.00555,0.89725
61.0,0.09825,0.0014,0.0051,0.89525
62.0,0.1006,0.00145,0.00465,0.8933
63.0,0.10405,0.0008,0.0047,0.89045
64.0,0.10715,0.0008,0.0045,0.88755
65.0,0.10975,0.00125,0.00375,0.88525
66.0,0.1129,0.0009,0.0036,0.8826
67.0,0.11585,0.0008,0.00335,0.88
68.0,0.1187,0.00085,0.00315,0.8773
69.0,0.12085,0.0009,0.0031,0.87515
70.0,0.12375,0.0012,0.0029,0.87215
71.0,0.127,0.0012,0.00275,0.86905
72.0,0.1293,0.00095,0.00245,0.8673
73.0,0.1319,0.00065,0.00245,0.865
74.0,0.1353,0.0006,0.00235,0.86175
75.0,0.13775,0.0008,0.0022,0.85925
76.0,0.14015,0.00075,0.0021,0.857
77.0,0.1422,0.0009,0.00195,0.85495
78.0,0.14435,0.0008,0.00205,0.8528
79.0,0.14685,0.0007,0.00215,0.8503
80.0,0.14925,0.0008,0.002,0.84795
81.0,0.1517,0.001,0.00195,0.84535
82.0,0.15335,0.00145,0.0019,0.8433
83.0,0.15575,0.001,0.0024,0.84085
84.0,0.15815,0.0008,0.00235,0.8387
85.0,0.1599,0.00085,0.0022,0.83705
86.0,0.16185,0.00065,0.0022,0.8353
87.0,0.16385,0.0008,0.00195,0.8334
88.0,0.16605,0.00095,0.00185,0.83115
89.0,0.16845,0.00085,0.00195,0.82875
90.0,0.1699,0.0013,0.0019,0.8269
91.0,0.17185,0.0014,0.00195,0.8248
92.0,0.174,0.00105,0.0022,0.82275
93.0,0.1757,0.00115,0.00185,0.8213
94.0,0.17785,0.00105,0.002,0.8191
95.0,0.17935,0.001,0.002,0.81765
96.0,0.1814,0.001,0.00195,0.81565
97.0,0.1843,0.00115,0.00205,0.8125
98.0,0.18685,0.00105,0.0021,0.81
99.0,0.18955,0.001,0.00195,0.8075
100.0,0.1913,0.0012,0.0019,0.8056
