time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.84595,0.05405,0.06475,0.03525
2.0,0.80405,0.07895,0.0729,0.0441
3.0,0.75375,0.1061,0.08635,0.0538
4.0,0.7001,0.1293,0.10605,0.06455
5.0,0.6366,0.15655,0.1295,0.07735
6.0,0.56735,0.1809,0.15665,0.0951
7.0,0.49755,0.20045,0.18665,0.11535
8.0,0.4254,0.2187,0.2159,0.14
9.0,0.3531,0.231,0.2493,0.1666
10.0,0.28625,0.23555,0.27935,0.19885
11.0,0.2267,0.22815,0.3103,0.23485
12.0,0.175,0.2132,0.3391,0.2727
13.0,0.13435,0.19395,0.35555,0.31615
14.0,0.10025,0.17545,0.36285,0.36145
15.0,0.07675,0.15205,0.36095,0.41025
16.0,0.0596,0.1249,0.3602,0.4553
17.0,0.04655,0.10365,0.346,0.5038
18.0,0.0372,0.08465,0.3309,0.54725
19.0,0.03135,0.0678,0.30985,0.591
20.0,0.0261,0.0558,0.28635,0.63175
21.0,0.02305,0.04365,0.26535,0.66795
22.0,0.02075,0.03535,0.24315,0.70075
23.0,0.01965,0.02855,0.2216,0.7302
24.0,0.01925,0.023,0.20075,0.757
25.0,0.01955,0.01925,0.18065,0.78055
26.0,0.02015,0.0159,0.16225,0.8017
27.0,0.021,0.0132,0.14525,0.82055
28.0,0.02135,0.0121,0.13,0.83655
29.0,0.02295,0.0107,0.1164,0.84995
30.0,0.0241,0.0088,0.1031,0.864
31.0,0.026,0.00825,0.0904,0.87535
32.0,0.0276,0.0073,0.08085,0.88425
33.0,0.02865,0.00675,0.0708,0.8938
34.0,0.0295,0.00625,0.0638,0.90045
35.0,0.0319,0.00615,0.0566,0.90535
36.0,0.0336,0.00555,0.0497,0.91115
37.0,0.03575,0.0054,0.0445,0.91435
38.0,0.03795,0.0046,0.0403,0.91715
39.0,0.0407,0.0041,0.03625,0.91895
40.0,0.04265,0.0039,0.03285,0.9206
41.0,0.04545,0.0035,0.02975,0.9213
42.0,0.0479,0.0032,0.02545,0.92345
43.0,0.05055,0.00315,0.0223,0.924
44.0,0.05275,0.0034,0.0198,0.92405
45.0,0.0555,0.003,0.01755,0.92395
46.0,0.0585,0.00275,0.01595,0.9228
47.0,0.06045,0.00285,0.01445,0.92225
48.0,0.0628,0.0029,0.01315,0.92115
49.0,0.06535,0.0029,0.01205,0.9197
50.0,0.06825,0.00255,0.01125,0.91795
51.0,0.07125,0.0024,0.0103,0.91605
52.0,0.07375,0.0023,0.01,0.91395
53.0,0.07615,0.00205,0.00905,0.91275
54.0,0.07895,0.00195,0.00835,0.91075
55.0,0.0812,0.0017,0.0075,0.9096
56.0,0.0851,0.00145,0.00675,0.9067
57.0,0.08815,0.0013,0.00605,0.9045
58.0,0.09135,0.00115,0.0057,0.9018
59.0,0.09385,0.00125,0.00495,0.89995
60.0,0.09735,0.0011,0.00455,0.897
61.0,0.1003,0.00115,0.00435,0.8942
62.0,0.10255,0.0013,0.00385,0.8923
