time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.84235,0.05765,0.0647,0.0353
2.0,0.79635,0.0868,0.07355,0.0433
3.0,0.7441,0.1149,0.0881,0.0529
4.0,0.69035,0.13765,0.1076,0.0644
5.0,0.6276,0.1614,0.1315,0.0795
6.0,0.55975,0.1853,0.1588,0.09615
7.0,0.48745,0.2065,0.18905,0.117
8.0,0.4145,0.21885,0.22545,0.1412
9.0,0.342,0.23075,0.2547,0.17255
10.0,0.2774,0.22885,0.2885,0.20525
11.0,0.21905,0.22175,0.3161,0.2431
12.0,0.16935,0.2092,0.33555,0.2859
13.0,0.13175,0.1904,0.34715,0.3307
14.0,0.1006,0.16875,0.3549,0.37575
15.0,0.077,0.14385,0.3575,0.42165
16.0,0.05935,0.1218,0.3517,0.46715
17.0,0.04725,0.10115,0.3394,0.5122
18.0,0.0371,0.0855,0.3199,0.5575
19.0,0.0307,0.0689,0.30165,0.59875
20.0,0.02715,0.0562,0.28105,0.6356
21.0,0.0228,0.04575,0.2582,0.67325
22.0,0.02195,0.03575,0.2355,0.7068
23.0,0.0199,0.02895,0.21485,0.7363
24.0,0.019,0.02335,0.1939,0.76375
25.0,0.0192,0.0185,0.17225,0.79005
26.0,0.0192,0.0158,0.1535,0.8115
27.0,0.01975,0.01335,0.13865,0.82825
28.0,0.0209,0.01105,0.1236,0.84445
29.0,0.02165,0.00925,0.10915,0.85995
30.0,0.0229,0.00785,0.09785,0.8714
31.0,0.02435,0.00655,0.0872,0.8819
32.0,0.0258,0.0056,0.07685,0.89175
33.0,0.0283,0.00535,0.067,0.89935
34.0,0.02995,0.0045,0.06045,0.9051
35.0,0.03275,0.00375,0.05435,0.90915
36.0,0.03435,0.00345,0.04705,0.91515
37.0,0.03745,0.00355,0.04165,0.91735
38.0,0.0398,0.00365,0.03745,0.9191
39.0,0.0422,0.0035,0.033,0.9213
40.0,0.04465,0.0036,0.0296,0.92215
41.0,0.0481,0.00305,0.02675,0.9221
42.0,0.05085,0.00275,0.02395,0.92245
43.0,0.0534,0.00285,0.02175,0.922
44.0,0.05555,0.0027,0.01995,0.9218
45.0,0.0587,0.0023,0.01905,0.91995
46.0,0.061,0.00265,0.017,0.91935
47.0,0.06345,0.00255,0.0151,0.9189
48.0,0.0656,0.00275,0.01385,0.9178
49.0,0.0677,0.0024,0.01295,0.91695
50.0,0.07045,0.00235,0.01165,0.91555
51.0,0.0733,0.002,0.0107,0.914
52.0,0.0766,0.0015,0.0104,0.9115
53.0,0.07905,0.0017,0.0091,0.91015
54.0,0.082,0.0016,0.0082,0.9082
55.0,0.08525,0.0013,0.00755,0.9059
56.0,0.0881,0.0014,0.00685,0.90365
57.0,0.08985,0.00185,0.00605,0.90225
58.0,0.09285,0.0017,0.00595,0.8995
59.0,0.0962,0.00165,0.0053,0.89685
60.0,0.09865,0.0017,0.0047,0.89495
61.0,0.10175,0.00165,0.0046,0.892
62.0,0.1047,0.0015,0.0041,0.8897
63.0,0.10745,0.0014,0.0042,0.88695
64.0,0.1102,0.0013,0.0036,0.8849
65.0,0.1124,0.00115,0.0034,0.88305
66.0,0.115,0.0011,0.00335,0.88055
67.0,0.1177,0.00115,0.00335,0.8778
68.0,0.1204,0.0012,0.0029,0.8755
69.0,0.12305,0.00105,0.0026,0.8733
70.0,0.12545,0.00095,0.00265,0.87095
71.0,0.1273,0.001,0.0026,0.8691
72.0,0.13055,0.00085,0.00245,0.86615
73.0,0.13315,0.0005,0.0027,0.86365
74.0,0.13545,0.00065,0.00245,0.86145
75.0,0.1383,0.00065,0.0022,0.85885
76.0,0.1407,0.0009,0.00215,0.85625
77.0,0.14425,0.001,0.00175,0.853
78.0,0.14725,0.0008,0.00175,0.8502
79.0,0.14985,0.00075,0.0018,0.8476
80.0,0.1527,0.0005,0.0018,0.845
81.0,0.155,0.00065,0.0017,0.84265
82.0,0.15705,0.00095,0.0015,0.8405
83.0,0.1595,0.00085,0.00145,0.8382
84.0,0.16145,0.0008,0.0015,0.83625
85.0,0.16345,0.00095,0.0014,0.8342
86.0,0.1656,0.00105,0.0011,0.83225
87.0,0.16765,0.001,0.00115,0.8302
88.0,0.1693,0.0008,0.0014,0.8285
89.0,0.17215,0.00085,0.00145,0.82555
90.0,0.1746,0.00075,0.0015,0.82315
91.0,0.17615,0.00075,0.0014,0.8217
