time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.84455,0.05545,0.06535,0.03465
2.0,0.79825,0.08585,0.0714,0.0445
3.0,0.74835,0.11135,0.08605,0.05425
4.0,0.6957,0.13335,0.10395,0.067
5.0,0.63525,0.15765,0.1268,0.0803
6.0,0.57065,0.1787,0.15275,0.0979
7.0,0.49925,0.1982,0.1828,0.11975
8.0,0.42945,0.2137,0.21375,0.1431
9.0,0.3596,0.22145,0.247,0.17195
10.0,0.29095,0.2268,0.27715,0.2051
11.0,0.23175,0.21985,0.3065,0.2419
12.0,0.18055,0.20875,0.32975,0.28095
13.0,0.1395,0.19305,0.34595,0.3215
14.0,0.10735,0.168,0.3587,0.36595
15.0,0.0811,0.1471,0.3596,0.4122
16.0,0.0625,0.1248,0.3534,0.4593
17.0,0.05015,0.1021,0.344,0.50375
18.0,0.04065,0.0831,0.3262,0.55005
19.0,0.03415,0.0679,0.307,0.59095
20.0,0.02965,0.0551,0.2866,0.62865
21.0,0.0263,0.04465,0.2665,0.66255
22.0,0.0231,0.0375,0.2443,0.6951
23.0,0.02155,0.03035,0.222,0.7261
24.0,0.02075,0.02415,0.2005,0.7546
25.0,0.01975,0.0204,0.17875,0.7811
26.0,0.0198,0.0177,0.16055,0.80195
27.0,0.0203,0.01375,0.14295,0.823
28.0,0.02055,0.01305,0.12695,0.83945
29.0,0.02175,0.0108,0.1135,0.85395
30.0,0.0231,0.0094,0.0999,0.8676
31.0,0.0243,0.0083,0.08815,0.87925
32.0,0.0258,0.0071,0.0781,0.889
33.0,0.02805,0.00665,0.06845,0.89685
34.0,0.02955,0.00595,0.0617,0.9028
35.0,0.0314,0.00535,0.05515,0.9081
36.0,0.03385,0.0045,0.0497,0.91195
37.0,0.0353,0.0045,0.0446,0.9156
38.0,0.03685,0.0043,0.03975,0.9191
39.0,0.0391,0.00415,0.03525,0.9215
40.0,0.0416,0.00325,0.0324,0.92275
41.0,0.0439,0.0035,0.02845,0.92415
42.0,0.0461,0.00315,0.02535,0.9254
43.0,0.0491,0.0028,0.02235,0.92575
44.0,0.05195,0.0025,0.0196,0.92595
45.0,0.0542,0.00265,0.0175,0.92565
46.0,0.0574,0.00265,0.0154,0.92455
47.0,0.0592,0.00265,0.01405,0.9241
48.0,0.06095,0.00295,0.0126,0.9235
49.0,0.0635,0.0024,0.01165,0.92245
50.0,0.06705,0.00245,0.0101,0.9204
51.0,0.06965,0.0022,0.0092,0.91895
52.0,0.0728,0.0022,0.0083,0.9167
53.0,0.0761,0.0017,0.00785,0.91435
54.0,0.07885,0.0017,0.00725,0.9122
55.0,0.08095,0.00135,0.0067,0.911
56.0,0.0836,0.0012,0.00635,0.90885
57.0,0.0864,0.00145,0.0056,0.90655
58.0,0.089,0.0011,0.00535,0.90455
59.0,0.0919,0.00125,0.0049,0.90195
60.0,0.09555,0.00105,0.0046,0.8988
61.0,0.0981,0.001,0.0042,0.8967
62.0,0.1013,0.00075,0.0036,0.89435
63.0,0.10345,0.00085,0.0033,0.8924
64.0,0.1056,0.0009,0.0031,0.8904
65.0,0.1089,0.0006,0.003,0.8875
