time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.8438,0.0562,0.0637,0.0363
2.0,0.79765,0.08635,0.07015,0.04585
3.0,0.74765,0.112,0.0847,0.05565
4.0,0.6956,0.1324,0.106,0.066
5.0,0.6326,0.15815,0.1288,0.08045
6.0,0.5665,0.1785,0.1576,0.0974
7.0,0.49275,0.20275,0.18655,0.11795
8.0,0.42125,0.2196,0.215,0.14415
9.0,0.3531,0.2251,0.24925,0.17255
10.0,0.28515,0.22975,0.2802,0.2049
11.0,0.22785,0.2247,0.30815,0.2393
12.0,0.1781,0.2131,0.32825,0.28055
13.0,0.1377,0.1949,0.3435,0.3239
14.0,0.1064,0.1722,0.3512,0.3702
15.0,0.08125,0.1506,0.354,0.41415
16.0,0.0632,0.12565,0.35005,0.4611
17.0,0.04965,0.10475,0.3377,0.5079
18.0,0.0407,0.0847,0.32165,0.55295
19.0,0.03385,0.06915,0.304,0.593
20.0,0.0291,0.05485,0.28655,0.6295
21.0,0.0244,0.0453,0.26425,0.66605
22.0,0.023,0.03645,0.2404,0.70015
23.0,0.0217,0.02935,0.2176,0.73135
24.0,0.0205,0.02405,0.19605,0.7594
25.0,0.02045,0.01905,0.1757,0.7848
26.0,0.02145,0.0157,0.15815,0.8047
27.0,0.0217,0.0129,0.1433,0.8221
28.0,0.0219,0.011,0.12795,0.83915
29.0,0.0226,0.00975,0.11385,0.8538
30.0,0.024,0.00785,0.10245,0.8657
31.0,0.0259,0.0073,0.09,0.8768
32.0,0.02705,0.0069,0.08015,0.8859
33.0,0.0289,0.00645,0.07165,0.893
34.0,0.0305,0.0057,0.06435,0.89945
35.0,0.03225,0.0051,0.05695,0.9057
36.0,0.03405,0.0047,0.0497,0.91155
37.0,0.03705,0.0038,0.04405,0.9151
38.0,0.03995,0.00385,0.03825,0.91795
39.0,0.042,0.00335,0.03435,0.9203
40.0,0.04355,0.0034,0.03115,0.9219
41.0,0.04635,0.00275,0.02785,0.92305
42.0,0.04815,0.0032,0.0242,0.92445
43.0,0.05145,0.00345,0.0205,0.9246
44.0,0.0545,0.0036,0.01875,0.92315
45.0,0.0576,0.003,0.0168,0.9226
46.0,0.06015,0.0025,0.0157,0.92165
47.0,0.0635,0.0025,0.0146,0.9194
48.0,0.0661,0.0024,0.0132,0.9183
49.0,0.0688,0.00215,0.0123,0.91675
50.0,0.0719,0.00195,0.0112,0.91495
51.0,0.07425,0.00195,0.00985,0.91395
52.0,0.077,0.00205,0.00875,0.9122
53.0,0.0798,0.00185,0.00785,0.9105
54.0,0.08275,0.0016,0.0075,0.90815
55.0,0.0857,0.00165,0.00665,0.906
56.0,0.0886,0.00155,0.00615,0.9037
57.0,0.09145,0.0016,0.00575,0.9012
58.0,0.0938,0.00155,0.0054,0.89925
59.0,0.0969,0.00125,0.0049,0.89695
60.0,0.0995,0.0013,0.0046,0.8946
61.0,0.10185,0.00125,0.00405,0.89285
62.0,0.1045,0.0011,0.0038,0.8906
63.0,0.1074,0.0009,0.00365,0.88805
64.0,0.11055,0.0009,0.0035,0.88505
65.0,0.1127,0.00105,0.0032,0.88305
66.0,0.11545,0.0012,0.0027,0.88065
67.0,0.1189,0.00115,0.0027,0.87725
68.0,0.1219,0.0008,0.00275,0.87455
69.0,0.124,0.0008,0.0025,0.8727
70.0,0.12685,0.00065,0.0023,0.8702
71.0,0.1297,0.00075,0.0023,0.86725
72.0,0.13235,0.0006,0.0022,0.86485
73.0,0.13475,0.00045,0.00225,0.86255
74.0,0.13705,0.00045,0.00205,0.86045
75.0,0.13885,0.00065,0.00175,0.85875
76.0,0.14135,0.0006,0.0019,0.85615
77.0,0.14345,0.00055,0.00175,0.85425
78.0,0.14625,0.00075,0.0015,0.8515
79.0,0.1488,0.00075,0.0015,0.84895
80.0,0.151,0.00075,0.0018,0.84645
81.0,0.15345,0.001,0.0017,0.84385
82.0,0.15535,0.00095,0.00175,0.84195
83.0,0.1578,0.0009,0.00185,0.83945
84.0,0.1604,0.00065,0.0018,0.83715
85.0,0.16255,0.0007,0.0019,0.83485
86.0,0.1646,0.00045,0.0022,0.83275
87.0,0.16755,0.00055,0.00185,0.83005
88.0,0.16955,0.0004,0.00175,0.8283
89.0,0.17235,0.00055,0.0016,0.8255
90.0,0.1745,0.00035,0.0017,0.82345
91.0,0.17685,0.00055,0.0014,0.8212
